buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,70,316017.8,0x5bf18d616dcd837e0c8ab0208e0c10f9ae2a4494,2021-12-03,197,0x2b56ad8f14991e25fa64353e4a1e1c061b8b989d97362b82f089afbfc896fdab,"CryptoPunk #197"
0x3f2a1ea0e8f71a0cb2b3f2a93aed3de5896b2fa6,93.39,428367.7893,0x6611fe71c233e4e7510b2795c242c9a57790b376,2021-12-02,7673,0xee3ac677ca299a44cae3d7e81698dd7e44b09a59a06d5231faf4f5668e3ab86a,"CryptoPunk #7673"
0xbb0d4ccf4e095a2d6a9a2bee2985a703c1ca9b69,80,366949.6,0xb4cf0f5f2ffed445ca804898654366316d0a779a,2021-12-02,5606,0xe2ff26419d3d6a826ac592f098fb58695dd6c86930fe956166281d69109779c4,"CryptoPunk #5606"
0x0000000000000000000000000000000000000000,77.77,356720.8799,0x1c313b41912c49520600bff424abd123e23ad668,2021-12-02,8454,0x5eb9d2dc6b07280118b132ce71e8ed2d76558bfd84fcb84f802df29d7720fa23,"CryptoPunk #8454"
0x0000000000000000000000000000000000000000,76.69,351767.0603,0xcc7c335f3365ae3f7e4e8c9535dc92780a4add9d,2021-12-02,2271,0xfebc31dbc4679012378ffc2ab0a957ce2fe884820f0923c102d7b28abb65c594,"CryptoPunk #2271"
0x0000000000000000000000000000000000000000,135,619227.45,0xf2ef5636b38ecf46324ac97957a514beda674d7d,2021-12-02,2006,0xda90f5c865329f84bca0691ec69ac969bc8eab8d2a31262c8c95f18288b2bf05,"CryptoPunk #2006"
0x0000000000000000000000000000000000000000,90,412818.3,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-12-02,6444,0xcfca22e42ceb6c1e99c6f99b72f3f798347c411fab3c369e22d91ed28bd930e4,"CryptoPunk #6444"
0x269616d549d7e8eaa82dfb17028d0b212d11232a,0,0,0x5542abc7dc05fa2c8142804bdbcc0da8a0dc98ad,2021-12-02,5039,0x9679d7175dc75adad6039fdc79f2eb2e1e9f36a5e86c476f3facba7ec3dc872d,"CryptoPunk #5039"
0x641ffaeb68c7fd400ba3ac3195984217622d6fa2,107,490795.09,0xa23deaf742997b604b8a7733036b209bac53958d,2021-12-02,1721,0x7d7ca2a7ceed825eb373b3a5e91f912120f01e780b5cf68b32520c923cb72364,"CryptoPunk #1721"
0x0000000000000000000000000000000000000000,101,463273.87,0xcc2a855946a3c20683858fe6ee15acf8b836f0b3,2021-12-02,5642,0x286b456af4cf4e9526fe7f5f70452b855d1bde41504fe4d145a5ff1f662ed3f9,"CryptoPunk #5642"
0x0000000000000000000000000000000000000000,90,412818.3,0x0e9aed5c7721c642a032812c2c4816f7d6cb87d7,2021-12-02,1092,0xa03b5a678a82db82a5bf00bb7dea2388a8f213ed43948890811fa4a7575fa10e,"CryptoPunk #1092"
0x0000000000000000000000000000000000000000,85,389883.95,0xaf9f8afc41a5e56120d723a178c3b4753b3ce5c6,2021-12-02,4202,0x740786a0f824e955ae6443e9a7b63722fa7ba167af7d3e19ff6a1946714ab7e4,"CryptoPunk #4202"
0x0000000000000000000000000000000000000000,86,394470.82,0xaf9f8afc41a5e56120d723a178c3b4753b3ce5c6,2021-12-02,4816,0xc39e3ce3a0bfcd8c6d7e723f4bed76a83f1d1553dcaf574fe3b7a6b2b14b0921,"CryptoPunk #4816"
0x0000000000000000000000000000000000000000,105,486825.15,0xa23deaf742997b604b8a7733036b209bac53958d,2021-12-01,7307,0xcf0eb0e87ff640f7fdce1137b3730e4b7a8dcb9bad1e254ec413504baa4978b7,"CryptoPunk #7307"
0x0000000000000000000000000000000000000000,90,417278.7,0x062c5432107e3b9ad924512209a7468b5c200fcd,2021-12-01,7346,0x881ab1d16957c400087fd46c723f1b498bee9c00124c9e5c3e68b93612e925e2,"CryptoPunk #7346"
0x0000000000000000000000000000000000000000,101,468279.43,0x8b6fb9fd6a29960c7d7a376158575278d1a6f8ba,2021-12-01,6099,0xe5f74d98c86c90055e22906bcb853dd32eb008202b3b1ac77fa0382a091d3240,"CryptoPunk #6099"
0xa0216f8cb6771d09c1da211b761c39b10ddfbc83,83.99,389413.7557,0xcc2a855946a3c20683858fe6ee15acf8b836f0b3,2021-12-01,2126,0x5dd2ea9d2b74470e3c632957cbd046cfeb72309367ff8c14dbc1c1d5da267427,"CryptoPunk #2126"
0xb7115afb6c101a2ade15112bf4b04071fe9774f4,149.95,695232.6785,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-12-01,8295,0x7ccb00019bf7b1d1967e8244233d59533f4d8c3204b466e800cfabd858462372,"CryptoPunk #8295"
0x53311150764f7eb2999022ed1aa5a8c17bb5fc57,86.95,403137.5885,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-12-01,3626,0x2ec814b1ca3ac99854a5dfb6c1c9b682fb5bd0e676cf3d79fbf07089791d0a1f,"CryptoPunk #3626"
0x0e691134a27faad4947b8548c6470b702480cdc0,87.95,407774.0185,0x6639c089adfba8bb9968da643c6be208a70d6daa,2021-12-01,3878,0x22cec1f7a14fc2ee1e2e59c24e6fb3af1a107509db1370b7f4ebd3936e7da031,"CryptoPunk #3878"
0x0000000000000000000000000000000000000000,80,370914.4,0xa8f8f5821230203f55db9df5203039780c779781,2021-12-01,1520,0xfeb944861ea51d82e73576968c2e685c98c521ca7159246004bc37f84a8ef916,"CryptoPunk #1520"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,81.5,377869.045,0xe75021660e00a7fa0df1b97da13ebabe6d82e7ea,2021-12-01,2773,0x2f641d98d8cc5a341973d57c08f862db9c50c46ce8db1d766f70494632608688,"CryptoPunk #2773"
0xb12ff4134da4a1ca511c711d61d73c62389d42c7,80,370914.4,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,2021-12-01,6859,0x10d134c94958952cc69ee371e274ba2beaaa4e55b1663a8bcf4d27214095a0f6,"CryptoPunk #6859"
0x0000000000000000000000000000000000000000,90,417278.7,0xe9581fb58eb6fdcbd45fcba793149bab6b0e0c4b,2021-12-01,9764,0x029f41fae588bb160d2f118017cb09d50e47b2b194176e84b9bc3b041b40f2c1,"CryptoPunk #9764"
0xc3b94e21337e9c07dabadbf299c8590cf7d2efbf,80,355953.6,0xfdb26046b3138f5a812fffe027527c0bf9c4d686,2021-11-30,6305,0x4ec76074ef172bad6fe654e0712bb86d978bfec6aff8548417da7a4a1436c16c,"CryptoPunk #6305"
0x0000000000000000000000000000000000000000,86,382650.12,0x91338ccfb8c0adb7756034a82008531d7713009d,2021-11-30,2065,0x05965df24c094eb72f5d13334cf9ce5ea3b61a3f2fb9f2f525987d1872882910,"CryptoPunk #2065"
0xa438ddd77fdbeca2496f0c5a39b317a67272ea4b,80,355953.6,0xf6bc89cc57e33c4e8053c4d8e63b70bf8c47e1a1,2021-11-30,7564,0xfa4c5a5bbacbf07c4b1b3f5a0f27c08b51c55da2f44e419da16de4555f341759,"CryptoPunk #7564"
0x0000000000000000000000000000000000000000,81,360403.02,0xa8f8f5821230203f55db9df5203039780c779781,2021-11-30,3626,0x44e754cb3b0558d3fa860733cfaf107c2218ce8e525044e8d17eada41beb247d,"CryptoPunk #3626"
0x269616d549d7e8eaa82dfb17028d0b212d11232a,0,0,0x5542abc7dc05fa2c8142804bdbcc0da8a0dc98ad,2021-11-30,3736,0x4e99ebd71ca1b4fed61fd3a39ad755dddde33c3308f23817eba071c1378eb03f,"CryptoPunk #3736"
0x0000000000000000000000000000000000000000,78,347054.76,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,2021-11-30,8645,0x36b636d125b27bb238e774a1e11e8b8f25ead2d45855f6c5a57742e1eea8eee1,"CryptoPunk #8645"
0x6671d4efc8729851af91f7db9035b0cac1450000,80,355953.6,0x98dda2ad2dc77b514372a8297519136ff2c4503f,2021-11-30,5878,0x51cd49a5a312014111fc0cb79580917456358233ea7953728f87d7e4e9d42b33,"CryptoPunk #5878"
0x349c2164d1600ce023b2c0bd83f59a98d6d6abcb,95,422694.9,0x753b20f21781f74816bccbf95f202baeabb94a7f,2021-11-30,5807,0xc562a0f48f6c85167a7e1e57c56cd25aa08ac287276151fdc261830d605d22a3,"CryptoPunk #5807"
0x00668bd79ede077b99bbe1c4db59418bc333d4cf,82.95,356550.621,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-11-29,4248,0xd3fad8b2e3eb7106ab8eb51977e8d7a78cf8104dc70abff5e0cfa31742c65711,"CryptoPunk #4248"
0xb371ec3849172169352ab5820249ef4d0db6fce1,100,429838,0x3be89b64e1437bb18da2d26bcbe9bd3daaadfc26,2021-11-29,4016,0x195e8cf0e3cbbd066a49f13e2b209c8c731f3b72820c6f0d81526dcad0bceeb4,"CryptoPunk #4016"
0x0000000000000000000000000000000000000000,90,386854.2,0x0e1ea689e197d99a6d99712c9d09342155bc1dbd,2021-11-29,2672,0xa7d596ac7cd996db087ff85d0614ab616d3a437c1d12bc1f423e75df0525feae,"CryptoPunk #2672"
0x56d90629aa29830e361e113e53a979f95afe93c1,140,573794.2,0x8f6b1e467fbe74d7dd43d59de0558f693c736798,2021-11-28,2726,0xabee04aa19160c3b96ae203c1587714bbc4a6f2ae0b240a2f83bd70fa6d91494,"CryptoPunk #2726"
0xbe73799cdb39d97ab1f745465825fcc5e2cee7a4,96,393458.88,0x61fef96e49f352fbac4645b0f5aefc0f40d80695,2021-11-28,6105,0xc72496c47db255b65106ea1d682325348ab72f329fbb6c5c3373cc0e66cc7166,"CryptoPunk #6105"
0x0000000000000000000000000000000000000000,81,331980.93,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-11-28,7492,0x7242d13bd65bef239e422323db9a073f70ac843315deea899d1a53a91e853916,"CryptoPunk #7492"
0x61fef96e49f352fbac4645b0f5aefc0f40d80695,135,553301.55,0xeb09a1a4d49046fe48b981d111553d5a2b26f074,2021-11-28,8838,0xa5105f132cb1bb3d1d2a3015d219d4f99a611f63edc7ca0d4b107dfe98e49bbc,"CryptoPunk #8838"
0x0e65cb6e1abb6366a20d7a552b3e1cc7a59bde50,95,384143.9,0x94de7e2c73529ebf3206aa3459e699fbcdfcd49b,2021-11-27,4961,0x68118c13da7a5de9ae9caae13849d0dc509d26855ab6508fbc277c8ae0bd6b3a,"CryptoPunk #4961"
0x0000000000000000000000000000000000000000,103,416492.86,0x54cda7207d147448b5522c6974212f00945c34ed,2021-11-27,3536,0x4f2c046ec4a3b6e04636bab1ff31702c907392ff17c6e10c18629c679e7ce85d,"CryptoPunk #3536"
0xc948eb5205bde3e18cac4969d6ad3a56ba7b2347,83.95,339461.899,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-11-27,8604,0x7b124adc6f7fbc714e52e0b75af8afdc3b3faea70c81dd027af8bd19264bd101,"CryptoPunk #8604"
0xb329c5d6e031e12c0efcd81c36d5a8e993c957ba,115,465016.3,0xa74221f22d1fa8753a8f999deec5da8f10f0ad60,2021-11-27,8357,0x8d865d176f09b9527f7c9b905a7021a1ac58245cd5d46b63e328c8a5d9982372,"CryptoPunk #8357"
0x0000000000000000000000000000000000000000,80,362162.4,0x97b3379e460eff9097476e661830273645b74945,2021-11-26,7492,0x5dd173d35a2648c53111db63ee12753aaaf58e2fd6180609b839ad59b2d198dd,"CryptoPunk #7492"
0x1e8d692986ca1ccd725e84c3f95a606b849a34da,91.99,416441.4897,0xcc2a855946a3c20683858fe6ee15acf8b836f0b3,2021-11-26,6322,0xbd3a5732de4bdf4300c17da67a499d27f1e4455cd5c8ae43ea67e8dec006ba5e,"CryptoPunk #6322"
0x0000000000000000000000000000000000000000,2.12,9597.3036,0xe744a9d52a2be86bf1b4bfd0ba527f5012cca3bf,2021-11-26,5807,0x435394ac0c2679a6f85edf5f7c55f49b6d77c7fadb4306c8770fac760bcf44b9,"CryptoPunk #5807"
0x0000000000000000000000000000000000000000,111.111,503002.8303,0xa351a4fffceed60b6d4351e1b20c55e3a6fb5503,2021-11-26,3056,0x4ebdf50c9195404d5ae2625f6205c1913195bab2bd5fa90d256d50f67baccccf,"CryptoPunk #3056"
0x50664ede715e131f584d3e7eaabd7818bb20a068,90,407432.7,0xf48e6b70f2ed64fe5c8e95066f4aa34a9e93072c,2021-11-26,3825,0x0b14e03f172d165936b90a9c24f1a0d87ddf1c24c0791d888670c1b9ad65d995,"CryptoPunk #3825"
0xe744a9d52a2be86bf1b4bfd0ba527f5012cca3bf,91,388654.63,0x030d7ab474dbc2df30a90ff2194eb1cab1646ffe,2021-11-25,5807,0x43f30a4e5fe08fd2b362b761961831a7e6d6ab82e0969791b78b9c61f668d167,"CryptoPunk #5807"
0xb0161d9457f9e4ebee1bf700daa0001126158c68,86.8,370716.724,0xef27c02656a00401b19bc3f8451799fe8ffc919e,2021-11-25,3842,0xaf329da2c7f60073cb22a1e75a9d3edf7b90303f7b08913a71e90f6ce752f2c2,"CryptoPunk #3842"
0xb0161d9457f9e4ebee1bf700daa0001126158c68,87.95,375628.2935,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2021-11-25,7877,0xd4b9308c34633746c683203f1adff8d918bad8ff1e6e3c378de55056cdde5a7c,"CryptoPunk #7877"
0x0000000000000000000000000000000000000000,130,555220.9,0xddd0e95a44c5945b4a52c83a4e00ba9635483306,2021-11-25,621,0x51940d523476597b6c6dba6f9195e0ccd314684ff85f0180626f44e3d7488872,"CryptoPunk #621"
